Protocol Logger Mode,
**************************************************************************************,
,
Project,_________________________________,,,,Date:,
,_________________________________,,,,______________________,,
,
Installation,_________________________________,
,_________________________________,
,
Contact,_________________________________,,,,Job Number,
,_________________________________,,,,______________________,

**************************************************************************************,
,
Measurement Information,
,
Application:,,Logger Mode,
Date/Time:,,02/09/2018,0:04:51,
Interval:,,1,s,
Measured Points:,,599,
Start Time:,,02/08/2018,23:54:52,
Stop Time:,,02/09/2018,0:04:50,
Measuring Duration:,,00:09:58,
Ambient Pressure:,,1013.00,hPa,
,
**************************************************************************************,
,
Device and Probe Information,
,
Instrument Name:,,testo 440 dP,
Instrument Serial No.:,,84518788,
Firmware Verison:,,V 1.0.8,
,
Probe:,,06359532,
Serial No. Probe:,,21563920,
,
**************************************************************************************,
,
Measurement Data,
,,,,,
,,,m/s [920],hPa [788],
Mean,,,3.8,0.02,
Max,,,5.5,0.04,
Min,,,0.6,0.01,
,
Measured Points,Date,Time,m/s [920],hPa [788],
1,02/08/2018,23:54:52,4.0,0.01,
2,02/08/2018,23:54:53,4.3,0.01,
3,02/08/2018,23:54:54,3.3,0.01,
4,02/08/2018,23:54:55,4.5,0.01,
5,02/08/2018,23:54:56,2.0,0.01,
6,02/08/2018,23:54:57,3.6,0.01,
7,02/08/2018,23:54:58,3.4,0.02,
8,02/08/2018,23:54:59,4.1,0.02,
9,02/08/2018,23:55:00,2.3,0.01,
10,02/08/2018,23:55:01,1.3,0.01,
11,02/08/2018,23:55:02,2.9,0.02,
12,02/08/2018,23:55:03,3.7,0.02,
13,02/08/2018,23:55:04,4.4,0.02,
14,02/08/2018,23:55:05,3.7,0.01,
15,02/08/2018,23:55:06,4.7,0.02,
16,02/08/2018,23:55:07,3.2,0.02,
17,02/08/2018,23:55:08,3.2,0.02,
18,02/08/2018,23:55:09,3.6,0.02,
19,02/08/2018,23:55:10,2.8,0.01,
20,02/08/2018,23:55:11,2.6,0.01,
21,02/08/2018,23:55:12,2.7,0.02,
22,02/08/2018,23:55:13,2.8,0.02,
23,02/08/2018,23:55:14,2.3,0.02,
24,02/08/2018,23:55:15,5.1,0.02,
25,02/08/2018,23:55:16,5.1,0.02,
26,02/08/2018,23:55:17,4.6,0.02,
27,02/08/2018,23:55:18,3.6,0.02,
28,02/08/2018,23:55:19,3.3,0.01,
29,02/08/2018,23:55:20,4.9,0.02,
30,02/08/2018,23:55:21,5.2,0.02,
31,02/08/2018,23:55:22,4.9,0.02,
32,02/08/2018,23:55:23,2.1,0.02,
33,02/08/2018,23:55:24,1.9,0.02,
